iso2,iso3,country,index,index_name,year,rank
CL,CHL,Chile,EIS,European Innovation Scoreboard,2023-01-01,43
ZA,ZAF,South Africa,EIS,European Innovation Scoreboard,2023-01-01,45
MX,MEX,Mexico,EIS,European Innovation Scoreboard,2023-01-01,48
KR,KOR,South Korea,EIS,European Innovation Scoreboard,2024-01-01,5
CA,CAN,Canada,EIS,European Innovation Scoreboard,2024-01-01,11
CN,CHN,China (People’s Republic of),EIS,European Innovation Scoreboard,2024-01-01,13
US,USA,United States,EIS,European Innovation Scoreboard,2024-01-01,16
AU,AUS,Australia,EIS,European Innovation Scoreboard,2024-01-01,18
JP,JPN,Japan,EIS,European Innovation Scoreboard,2024-01-01,21
BR,BRA,Brazil,EIS,European Innovation Scoreboard,2024-01-01,37
IN,IND,India,EIS,European Innovation Scoreboard,2024-01-01,40
CL,CHL,Chile,EIS,European Innovation Scoreboard,2024-01-01,43
ZA,ZAF,South Africa,EIS,European Innovation Scoreboard,2024-01-01,46
MX,MEX,Mexico,EIS,European Innovation Scoreboard,2024-01-01,48
KR,KOR,South Korea,EIS,European Innovation Scoreboard,2025-01-01,3
CN,CHN,China (People’s Republic of),EIS,European Innovation Scoreboard,2025-01-01,11
CA,CAN,Canada,EIS,European Innovation Scoreboard,2025-01-01,12
US,USA,United States,EIS,European Innovation Scoreboard,2025-01-01,15
AU,AUS,Australia,EIS,European Innovation Scoreboard,2025-01-01,18
JP,JPN,Japan,EIS,European Innovation Scoreboard,2025-01-01,21
BR,BRA,Brazil,EIS,European Innovation Scoreboard,2025-01-01,37
IN,IND,India,EIS,European Innovation Scoreboard,2025-01-01,39
CL,CHL,Chile,EIS,European Innovation Scoreboard,2025-01-01,43
ZA,ZAF,South Africa,EIS,European Innovation Scoreboard,2025-01-01,46
MX,MEX,Mexico,EIS,European Innovation Scoreboard,2025-01-01,48
